obs,action,reward,price
"[0.9503928571428572, 2.0, 0.26666666666666666, 1.0, -1.0, 0.3793103448275861, -0.00435522291190864, 0.006014359282788817, 0.0, 1.0, 0.0625, 0.1486, -0.6, 0.2129032258064516, 0.3636859582542694, 1.0, 0.0]",HOLD,-2.511922833649589,6652.75
"[0.9502857142857143, 2.0, 0.26666666666666666, 1.0, -1.0, 0.33333333333333315, 0.007277731439899071, 0.0022549609140121163, 0.0, 1.0, 0.10416666666666667, 0.1421, -0.6, 0.17419354838709677, 0.35914769133459834, 1.0, 0.0]",HOLD,-2.5300759013282734,6652.0
"[0.9502857142857143, 2.0, 0.26666666666666666, 1.0, -1.0, 0.28571428571428553, 0.010329394194832276, 0.001503420281139256, 0.0, 1.0, 0.020833333333333332, 0.1376, -0.6, 0.13548387096774192, 0.35, 1.0, 0.0]",HOLD,-2.566666666666667,6652.0
"[0.9504285714285714, 2.0, 0.26666666666666666, 1.0, 1.0, 0.28571428571428553, 0.012604203301998495, 0.0007516818882269405, 0.0, 1.0, -0.020833333333333332, 0.1353, -0.6, 0.13548387096774192, 0.35, 1.0, 0.0]",HOLD,-2.566666666666667,6653.0
"[0.9504285714285714, 2.0, 0.26666666666666666, 1.0, 1.0, 0.41935483870967744, 0.022219513253003243, 0.0022548761697160913, 0.0, 1.0, 0.020833333333333332, 0.1349, 0.6, 0.13548387096774192, 0.35, 1.0, 0.0]",HOLD,4.033333333333333,6653.0
"[0.9505, 2.0, 0.26666666666666666, 1.0, 1.0, 0.5172413793103448, 0.02949914369510225, 0.0007515689000792136, 0.0, 1.0, 0.020833333333333332, 0.1348, 0.6, 0.13548387096774192, 0.35, 1.0, 0.0]",HOLD,4.033333333333333,6653.5
"[0.9504285714285714, 2.0, 0.26666666666666666, 1.0, 1.0, 0.4814814814814815, 0.03885278701836796, 0.002254706700237641, 0.0, 1.0, 0.125, 0.1311, -0.6, 0.13548387096774192, 0.35289373814041747, 1.0, 0.0]",HOLD,-2.555091714104997,6653.0
"[0.9502142857142857, 2.0, 0.26666666666666666, 1.0, -1.0, 0.4814814814814815, 0.04175067593632775, 0.0030066145520146748, 0.0, 1.0, 0.08333333333333333, 0.1285, 0.6, 0.13548387096774192, 0.35, 1.0, 0.0]",HOLD,4.033333333333333,6651.5
"[0.95025, 2.0, 0.26666666666666666, 1.0, -1.0, 0.13333333333333328, 0.031585716443623825, -0.0015033072760073374, 0.0, 1.0, -0.125, 0.1267, 0.6, 0.13548387096774192, 0.35289373814041747, 1.0, 0.0]",HOLD,4.044908285895003,6651.75
"[0.9501785714285714, 2.0, 0.26666666666666666, -1.0, -1.0, 0.13333333333333328, 0.025259111913601372, -0.0037577032917490705, 0.0, 1.0, -0.10416666666666667, 0.1252, 0.6, 0.13548387096774192, 0.35117805186590767, 1.0, 0.0]",HOLD,4.038045540796964,6651.25
"[0.9500357142857143, 2.0, 0.26666666666666666, -1.0, -1.0, -0.11111111111111129, 0.01602766226924359, -0.005260784608447366, 0.0, 1.0, -0.1875, 0.125, 0.6, 0.13548387096774192, 0.35804079696394686, 1.0, 0.0]",HOLD,4.065496521189121,6650.25
